merchant_id,total_txns,total_revenue,avg_txn_amount,unique_users,failed_txns,fraud_txns,failure_rate,fraud_rate
MER00001,272,1066756.84,3921.9001470588237,268,17,0,6.25,0.0
MER00002,251,1102387.47,4391.981952191235,248,15,0,5.98,0.0
MER00003,268,1043671.78,3894.2976865671644,264,10,0,3.73,0.0
MER00004,258,599557.22,2323.8651937984496,253,8,1,3.1,0.39
MER00005,256,273822.43,1069.6188671875,250,9,0,3.52,0.0
MER00006,240,901989.11,3758.2879583333333,239,11,0,4.58,0.0
MER00007,274,84668.56999999999,309.00937956204376,273,13,0,4.74,0.0
MER00008,292,67834.94,232.3114383561644,288,16,0,5.48,0.0
MER00009,264,273679.58,1036.6650757575758,260,17,0,6.44,0.0
MER00010,249,80252.87,322.30068273092365,246,10,0,4.02,0.0
MER00011,244,56308.11,230.77094262295083,243,13,0,5.33,0.0
MER00012,229,48088.75,209.99454148471617,229,17,0,7.42,0.0
MER00013,249,774545.88,3110.6260240963857,245,14,0,5.62,0.0
MER00014,234,67381.32,287.954358974359,233,13,0,5.56,0.0
MER00015,226,231236.24,1023.169203539823,225,11,0,4.87,0.0
MER00016,278,290786.38,1045.9941726618706,271,14,0,5.04,0.0
MER00017,259,461561.52,1782.0908108108108,257,13,0,5.02,0.0
MER00018,257,398571.69,1550.862607003891,255,16,0,6.23,0.0
MER00019,274,267801.93,977.379306569343,269,16,0,5.84,0.0
MER00020,234,848882.19,3627.7016666666664,230,15,0,6.41,0.0
MER00021,251,562039.64,2239.2017529880477,246,17,0,6.77,0.0
MER00022,261,310701.77,1190.4282375478929,261,33,0,12.64,0.0
MER00023,256,2445994.32,9554.6653125,252,15,0,5.86,0.0
MER00024,239,60653.18,253.77899581589958,235,23,1,9.62,0.42
MER00025,265,410843.3,1550.352075471698,264,17,0,6.42,0.0
MER00026,226,1055949.44,4672.342654867256,222,13,0,5.75,0.0
MER00027,244,4878954.8,19995.71639344262,242,19,0,7.79,0.0
MER00028,246,263385.8,1070.6739837398372,244,8,0,3.25,0.0
MER00029,256,581835.13,2272.7934765625,255,16,0,6.25,0.0
MER00030,226,72133.91,319.176592920354,223,14,1,6.19,0.44
MER00031,253,257825.54,1019.0732806324111,252,21,0,8.3,0.0
MER00032,242,71455.8,295.2719008264463,236,15,0,6.2,0.0
MER00033,265,63486.26,239.5707924528302,261,15,0,5.66,0.0
MER00034,246,53752.28,218.50520325203252,244,8,0,3.25,0.0
MER00035,251,249992.71,995.9868924302789,248,19,0,7.57,0.0
MER00036,243,767835.65,3159.8174897119343,241,18,0,7.41,0.0
MER00037,271,800791.5599999999,2954.9504059040587,270,15,0,5.54,0.0
MER00038,253,910322.04,3598.110830039526,251,11,0,4.35,0.0
MER00039,246,1221184.01,4964.162642276423,240,15,0,6.1,0.0
MER00040,244,58484.89,239.69217213114754,241,10,0,4.1,0.0
MER00041,247,75317.21,304.92797570850206,240,20,0,8.1,0.0
MER00042,272,535107.83,1967.3081985294116,269,12,0,4.41,0.0
MER00043,261,2661600.87,10197.704482758621,259,23,0,8.81,0.0
MER00044,249,135500.83,544.1800401606425,246,18,0,7.23,0.0
MER00045,243,56752.12,233.54781893004116,236,12,0,4.94,0.0
MER00046,223,491288.05,2203.0854260089686,219,20,0,8.97,0.0
MER00047,251,781517.23,3113.6144621513945,250,10,0,3.98,0.0
MER00048,263,416755.81,1584.6228517110267,261,22,0,8.37,0.0
MER00049,248,261321.72,1053.7166129032257,243,15,0,6.05,0.0
MER00050,238,76972.58,323.41420168067225,235,14,0,5.88,0.0
MER00051,257,2732163.85,10630.987743190663,255,18,0,7.0,0.0
MER00052,256,634112.65,2477.0025390625,251,13,0,5.08,0.0
MER00053,279,135177.11,484.505770609319,273,19,0,6.81,0.0
MER00054,242,236892.56,978.8948760330578,239,13,0,5.37,0.0
MER00055,248,60486.48,243.89709677419356,244,11,0,4.44,0.0
MER00056,261,1148420.27,4400.077662835249,261,11,0,4.21,0.0
MER00057,297,1238623.34,4170.448956228956,296,19,0,6.4,0.0
MER00058,255,610654.51,2394.723568627451,250,19,0,7.45,0.0
MER00059,250,469781.15,1879.1246,250,23,0,9.2,0.0
MER00060,259,264633.1,1021.7494208494207,255,14,0,5.41,0.0
MER00061,253,343461.77999999997,1357.556442687747,247,15,0,5.93,0.0
MER00062,239,122776.38,513.7087029288704,236,14,0,5.86,0.0
MER00063,233,236558.08,1015.2707296137338,229,17,0,7.3,0.0
MER00064,231,232423.93,1006.1641991341991,229,8,0,3.46,0.0
MER00065,266,63901.75,240.23214285714286,265,14,0,5.26,0.0
MER00066,262,461073.84,1759.8238167938932,258,17,0,6.49,0.0
MER00067,252,469741.2,1864.052380952381,248,15,0,5.95,0.0
MER00068,244,356007.48,1459.0470491803278,240,15,0,6.15,0.0
MER00069,275,130942.75,476.1554545454545,274,18,0,6.55,0.0
MER00070,248,427250.77,1722.7853629032259,248,8,0,3.23,0.0
MER00071,242,283345.72,1170.850082644628,240,21,0,8.68,0.0
MER00072,233,53222.35,228.42210300429184,229,15,0,6.44,0.0
MER00073,297,151861.03,511.3165993265993,295,25,0,8.42,0.0
MER00074,262,1143529.53,4364.6165267175575,259,14,0,5.34,0.0
MER00075,242,284272.61,1174.6802066115702,239,12,0,4.96,0.0
MER00076,250,79581.54,318.32615999999996,246,15,0,6.0,0.0
MER00077,233,222496.18,954.9192274678111,231,17,0,7.3,0.0
MER00078,264,634330.89,2402.7685227272727,259,19,0,7.2,0.0
MER00079,276,1246073.28,4514.758260869566,274,17,0,6.16,0.0
MER00080,238,3612090.95,15176.852731092438,235,17,1,7.14,0.42
