user_id,total_txns,total_spend,avg_txn_amount,max_txn_amount,unique_merchants,unique_categories,unique_platforms,failed_txns,fraud_txns,cross_city_txns,festival_txns,failure_rate,cross_city_rate,festival_txn_rate,avg_spend_per_day
USR000001,47,177123.11000000002,3768.576808510639,20135.63,47,13,3,2,0,45,18,4.26,95.74,38.3,242.63
USR000002,56,206797.82,3692.8182142857145,46768.89,56,15,4,3,0,55,18,5.36,98.21,32.14,283.28
USR000003,47,245946.62,5232.906808510638,84783.63,47,16,2,3,0,44,15,6.38,93.62,31.91,336.91
USR000004,48,144122.46,3002.55125,24302.5,47,17,4,2,0,48,13,4.17,100.0,27.08,197.43
USR000005,38,81361.68000000001,2141.0968421052635,19381.05,38,14,5,2,0,37,12,5.26,97.37,31.58,111.45
USR000006,47,125270.97,2665.3397872340424,32337.27,46,16,5,4,0,47,12,8.51,100.0,25.53,171.6
USR000007,73,279091.07,3823.1653424657534,31008.13,71,17,4,4,0,73,22,5.48,100.0,30.14,382.32
USR000008,54,199667.52,3697.5466666666666,27162.48,52,17,5,5,0,53,21,9.26,98.15,38.89,273.52
USR000009,53,131208.77,2475.6371698113207,15034.3,53,17,3,2,0,52,24,3.77,98.11,45.28,179.74
USR000010,41,117319.20999999999,2861.4441463414632,17808.15,39,13,5,3,0,41,12,7.32,100.0,29.27,160.71
USR000011,58,162861.98,2807.9651724137934,23192.44,57,18,4,1,0,54,8,1.72,93.1,13.79,223.1
USR000012,37,107931.81,2917.075945945946,28315.1,37,16,3,3,0,36,9,8.11,97.3,24.32,147.85
USR000013,58,170339.31,2936.8846551724137,18991.32,58,18,3,3,0,58,15,5.17,100.0,25.86,233.34
USR000014,47,117812.53,2506.649574468085,17695.8,47,18,2,1,0,44,22,2.13,93.62,46.81,161.39
USR000015,56,177519.14,3169.984642857143,17957.27,56,17,3,2,0,55,9,3.57,98.21,16.07,243.18
USR000016,53,160192.62,3022.502264150943,38209.53,53,17,5,4,0,51,17,7.55,96.23,32.08,219.44
USR000017,51,166912.2,3272.788235294118,31485.73,48,18,5,1,0,51,13,1.96,100.0,25.49,228.65
USR000018,54,110362.46,2043.7492592592594,17253.33,53,16,2,7,0,54,19,12.96,100.0,35.19,151.18
USR000019,61,190981.75,3130.848360655738,24484.81,60,17,5,3,0,59,20,4.92,96.72,32.79,261.62
USR000020,46,166506.9,3619.715217391304,19694.87,46,16,3,1,0,46,20,2.17,100.0,43.48,228.09
USR000021,42,87450.06,2082.1442857142856,18319.17,42,17,4,0,0,42,17,0.0,100.0,40.48,119.79
USR000022,51,173128.08000000002,3394.668235294118,27545.78,50,16,3,2,0,48,14,3.92,94.12,27.45,237.16
USR000023,61,156505.74,2565.667868852459,33947.2,59,16,6,1,0,60,23,1.64,98.36,37.7,214.39
USR000024,45,143811.41,3195.809111111111,21121.0,45,18,3,1,0,43,15,2.22,95.56,33.33,197.0
USR000025,46,86891.89,1888.9541304347827,18679.73,46,15,6,4,0,44,16,8.7,95.65,34.78,119.03
USR000026,41,130012.21,3171.029512195122,25739.15,41,17,4,0,0,41,13,0.0,100.0,31.71,178.1
USR000027,56,170675.25,3047.7723214285716,37693.24,54,16,5,4,0,53,22,7.14,94.64,39.29,233.8
USR000028,41,132429.03,3229.9763414634144,29098.68,41,16,4,2,0,39,9,4.88,95.12,21.95,181.41
USR000029,48,136478.46,2843.30125,29492.08,47,15,3,9,0,48,11,18.75,100.0,22.92,186.96
USR000030,44,67304.01,1529.6365909090907,6127.87,44,14,4,1,0,43,14,2.27,97.73,31.82,92.2
USR000031,54,152720.94999999998,2828.1657407407406,13864.73,49,17,6,4,0,51,25,7.41,94.44,46.3,209.21
USR000032,64,187193.82,2924.9034375,32158.41,63,17,5,7,0,62,19,10.94,96.88,29.69,256.43
USR000033,52,194568.13,3741.6948076923077,34405.45,51,15,4,2,0,50,17,3.85,96.15,32.69,266.53
USR000034,50,155555.35,3111.107,19481.22,49,17,5,2,0,49,19,4.0,98.0,38.0,213.09
USR000035,55,189417.86,3443.9610909090907,27456.49,53,17,3,0,0,53,15,0.0,96.36,27.27,259.48
USR000036,43,116149.36,2701.1479069767443,22901.08,43,15,5,2,0,43,16,4.65,100.0,37.21,159.11
USR000037,54,145387.76,2692.365925925926,24141.36,53,17,5,2,0,50,16,3.7,92.59,29.63,199.16
USR000038,54,176670.84,3271.682222222222,26438.41,53,17,5,5,0,51,22,9.26,94.44,40.74,242.01
USR000039,46,80882.37,1758.3123913043478,20433.37,45,14,3,2,0,45,8,4.35,97.83,17.39,110.8
USR000040,39,92780.22,2378.98,11846.77,39,15,4,1,0,38,15,2.56,97.44,38.46,127.1
USR000041,49,170784.88,3485.4057142857146,20143.67,48,14,3,3,0,46,13,6.12,93.88,26.53,233.95
USR000042,55,147613.47,2683.881272727273,28152.02,54,15,4,2,0,53,15,3.64,96.36,27.27,202.21
USR000043,55,152018.12,2763.965818181818,19605.4,55,17,4,5,0,53,21,9.09,96.36,38.18,208.24
USR000044,49,160309.9,3271.6306122448977,32008.14,47,15,5,2,0,46,12,4.08,93.88,24.49,219.6
USR000045,51,176835.76,3467.367843137255,37884.48,50,15,5,3,0,50,16,5.88,98.04,31.37,242.24
