user_id,total_txns,total_spend,avg_txn_amount,max_txn_amount,unique_merchants,unique_categories,unique_platforms,failed_txns,fraud_txns,cross_city_txns,festival_txns,failure_rate,cross_city_rate,festival_txn_rate,avg_spend_per_day,evening_txns,night_txns,weekend_txns,morning_txns,food_txns,p2p_txns,investment_txns,ecom_txns,travel_txns,qr_txns,upi_id_txns,platform_loyalty_rate,evening_ratio,night_ratio,weekend_ratio,food_ratio,p2p_ratio,investment_ratio,ecom_ratio,travel_ratio,qr_ratio,segment,segment_name,pca1,pca2
USR000001,47,177123.11000000002,3768.576808510639,20135.63,47,13,3,2,0,45,18,4.26,95.74,38.3,242.63,15,0,16,17,7,0,0,6,0,20,15,0.8723404255319149,0.3191,0.0,0.3404,0.1489,0.0,0.0,0.1277,0.0,0.4255,2,Loyal Digital Users,-0.200447221649943,-1.57517645704104
USR000002,56,206797.82,3692.8182142857145,46768.89,56,15,4,3,0,55,18,5.36,98.21,32.14,283.28,20,3,16,18,4,3,3,5,5,20,14,0.875,0.3571,0.0536,0.2857,0.0714,0.0536,0.0536,0.0893,0.0893,0.3571,3,Premium Investors,2.332445147377462,-0.7715608886115269
USR000003,47,245946.62,5232.906808510638,84783.63,47,16,2,3,0,44,15,6.38,93.62,31.91,336.91,22,1,14,13,6,6,2,0,6,18,20,0.9361702127659575,0.4681,0.0213,0.2979,0.1277,0.1277,0.0426,0.0,0.1277,0.383,3,Premium Investors,3.795434942458003,-3.2896178730294925
USR000004,48,144122.46,3002.55125,24302.5,47,17,4,2,0,48,13,4.17,100.0,27.08,197.43,19,3,13,10,8,1,2,5,2,17,15,0.875,0.3958,0.0625,0.2708,0.1667,0.0208,0.0417,0.1042,0.0417,0.3542,2,Loyal Digital Users,0.04264986630105299,-0.4846699517794343
USR000005,38,81361.68000000001,2141.0968421052635,19381.05,38,14,5,2,0,37,12,5.26,97.37,31.58,111.45,12,3,11,9,7,2,0,2,3,21,12,0.8421052631578947,0.3158,0.0789,0.2895,0.1842,0.0526,0.0,0.0526,0.0789,0.5526,1,Casual Small Spenders,-3.3743787429920045,0.6583213373338328
USR000006,47,125270.97,2665.3397872340424,32337.27,46,16,5,4,0,47,12,8.51,100.0,25.53,171.6,16,2,19,16,8,0,2,4,3,12,22,0.7872340425531915,0.3404,0.0426,0.4043,0.1702,0.0,0.0426,0.0851,0.0638,0.2553,0,Active Everyday Users,-0.6673516586829198,1.259818386876174
USR000007,73,279091.07,3823.1653424657534,31008.13,71,17,4,4,0,73,22,5.48,100.0,30.14,382.32,23,2,22,25,7,4,3,5,3,21,31,0.9315068493150684,0.3151,0.0274,0.3014,0.0959,0.0548,0.0411,0.0685,0.0411,0.2877,3,Premium Investors,4.935895796362751,-0.6326642490469551
USR000008,54,199667.52,3697.5466666666666,27162.48,52,17,5,5,0,53,21,9.26,98.15,38.89,273.52,20,1,12,13,10,3,1,4,2,20,21,0.8888888888888888,0.3704,0.0185,0.2222,0.1852,0.0556,0.0185,0.0741,0.037,0.3704,3,Premium Investors,1.8331939098553889,0.2637559495508428
USR000009,53,131208.77,2475.6371698113207,15034.3,53,17,3,2,0,52,24,3.77,98.11,45.28,179.74,16,2,12,17,2,5,1,7,1,14,22,0.8679245283018868,0.3019,0.0377,0.2264,0.0377,0.0943,0.0189,0.1321,0.0189,0.2642,2,Loyal Digital Users,-0.40101694859189635,-0.8410931002789024
USR000010,41,117319.21,2861.4441463414632,17808.15,39,13,5,3,0,41,12,7.32,100.0,29.27,160.71,13,1,10,12,6,3,3,4,0,15,17,0.8780487804878049,0.3171,0.0244,0.2439,0.1463,0.0732,0.0732,0.0976,0.0,0.3659,1,Casual Small Spenders,-1.2683621492893948,-0.7216495745511515
