user_id,age,gender,city,city_tier,preferred_platform,activity_level,monthly_txn_frequency,device_type,registration_date,segment,segment_name,avg_txn_amount,total_spend,total_txns,platform_loyalty_rate,avg_spend_per_day,pca1,pca2
USR000001,30,Female,Jaipur,Tier2,Paytm,Medium,17,Android,2020-03-22,2,Loyal Digital Users,3768.576808510639,177123.11000000002,47,0.8723404255319149,242.63,-0.200447221649943,-1.57517645704104
USR000002,58,Male,Jaipur,Tier2,PhonePe,Medium,15,Android,2022-03-02,3,Premium Investors,3692.8182142857145,206797.82,56,0.875,283.28,2.332445147377462,-0.7715608886115269
USR000003,43,Female,Nagpur,Tier2,Google Pay,Medium,18,Android,2020-08-01,3,Premium Investors,5232.906808510638,245946.62,47,0.9361702127659575,336.91,3.795434942458003,-3.2896178730294925
USR000004,38,Male,Kolkata,Tier1,PhonePe,Medium,19,Android,2021-12-11,2,Loyal Digital Users,3002.55125,144122.46,48,0.875,197.43,0.04264986630105299,-0.4846699517794343
USR000005,24,Female,Lucknow,Tier2,WhatsApp Pay,Medium,10,iOS,2021-11-07,1,Casual Small Spenders,2141.0968421052635,81361.68000000001,38,0.8421052631578947,111.45,-3.3743787429920045,0.6583213373338328
USR000006,24,Female,Agra,Tier2,PhonePe,High,48,Android,2021-06-07,0,Active Everyday Users,2665.3397872340424,125270.97,47,0.7872340425531915,171.6,-0.6673516586829198,1.259818386876174
USR000007,20,Female,Nashik,Tier2,Google Pay,Medium,16,Android,2022-08-09,3,Premium Investors,3823.1653424657534,279091.07,73,0.9315068493150684,382.32,4.935895796362751,-0.6326642490469551
USR000008,49,Female,Kanpur,Tier2,Google Pay,Medium,12,Android,2020-01-20,3,Premium Investors,3697.5466666666666,199667.52,54,0.8888888888888888,273.52,1.8331939098553889,0.2637559495508428
USR000009,38,Male,Mumbai,Tier1,PhonePe,Low,3,Web,2022-06-13,2,Loyal Digital Users,2475.6371698113207,131208.77,53,0.8679245283018868,179.74,-0.40101694859189635,-0.8410931002789024
USR000010,42,Male,Mysore,Tier3,PhonePe,Medium,8,Android,2019-03-03,1,Casual Small Spenders,2861.4441463414632,117319.21,41,0.8780487804878049,160.71,-1.2683621492893948,-0.7216495745511515
USR000011,18,Male,Pune,Tier1,CRED,Medium,8,Android,2021-05-05,0,Active Everyday Users,2807.9651724137934,162861.98,58,0.8103448275862069,223.1,0.7763718383629553,0.9383423097827951
USR000012,60,Other,Bangalore,Tier1,Paytm,Medium,12,Android,2020-05-23,2,Loyal Digital Users,2917.075945945946,107931.81,37,0.8648648648648649,147.85,-1.6666300475669222,-1.351166500910993
USR000013,47,Female,Meerut,Tier3,Paytm,Low,5,Android,2020-02-14,0,Active Everyday Users,2936.8846551724137,170339.31,58,0.8275862068965517,233.34,0.9864811217651555,-0.021722633521014122
USR000014,25,Male,Patna,Tier2,PhonePe,High,45,Android,2022-11-19,2,Loyal Digital Users,2506.649574468085,117812.53,47,0.9787234042553191,161.39,-0.8312660786379822,-2.684080284432879
USR000015,25,Male,Nashik,Tier2,Google Pay,High,45,iOS,2020-11-29,3,Premium Investors,3169.984642857143,177519.14,56,0.8392857142857143,243.18,1.5701951269948307,-0.7661880950036931
USR000016,25,Male,Jaipur,Tier2,Google Pay,Medium,20,Android,2022-04-09,0,Active Everyday Users,3022.502264150943,160192.62,53,0.8679245283018868,219.44,0.5742842413354005,0.5774174367160806
