user_id,age,gender,city,city_tier,preferred_platform,activity_level,monthly_txn_frequency,device_type,registration_date
USR000001,30,Female,Jaipur,Tier2,Paytm,Medium,17,Android,2020-03-22
USR000002,58,Male,Jaipur,Tier2,PhonePe,Medium,15,Android,2022-03-02
USR000003,43,Female,Nagpur,Tier2,Google Pay,Medium,18,Android,2020-08-01
USR000004,38,Male,Kolkata,Tier1,PhonePe,Medium,19,Android,2021-12-11
USR000005,24,Female,Lucknow,Tier2,WhatsApp Pay,Medium,10,iOS,2021-11-07
USR000006,24,Female,Agra,Tier2,PhonePe,High,48,Android,2021-06-07
USR000007,20,Female,Nashik,Tier2,Google Pay,Medium,16,Android,2022-08-09
USR000008,49,Female,Kanpur,Tier2,Google Pay,Medium,12,Android,2020-01-20
USR000009,38,Male,Mumbai,Tier1,PhonePe,Low,3,Web,2022-06-13
USR000010,42,Male,Mysore,Tier3,PhonePe,Medium,8,Android,2019-03-03
USR000011,18,Male,Pune,Tier1,CRED,Medium,8,Android,2021-05-05
USR000012,60,Other,Bangalore,Tier1,Paytm,Medium,12,Android,2020-05-23
USR000013,47,Female,Meerut,Tier3,Paytm,Low,5,Android,2020-02-14
USR000014,25,Male,Patna,Tier2,PhonePe,High,45,Android,2022-11-19
USR000015,25,Male,Nashik,Tier2,Google Pay,High,45,iOS,2020-11-29
USR000016,25,Male,Jaipur,Tier2,Google Pay,Medium,20,Android,2022-04-09
USR000017,28,Male,Lucknow,Tier2,PhonePe,Medium,18,Android,2021-02-17
USR000018,35,Female,Amritsar,Tier3,PhonePe,High,50,Android,2021-03-14
USR000019,32,Male,Visakhapatnam,Tier2,WhatsApp Pay,High,37,Android,2020-05-28
USR000020,28,Female,Hyderabad,Tier1,Google Pay,Low,1,Android,2019-05-28
USR000021,38,Female,Ahmedabad,Tier1,PhonePe,Low,5,iOS,2019-05-31
USR000022,23,Male,Delhi,Tier1,Paytm,Medium,13,Android,2020-10-05
USR000023,28,Male,Jaipur,Tier2,Google Pay,Medium,9,Android,2021-03-07
